Country,Total.Cases,Total.Deaths,Total.Recovered,Active.Cases,Serious.Critical,Total.Tests,Population,Continent
UK,8734934,139461,7116179,1479294,892,324387705,68351807,Europe
Russia,8205983,229528,7143137,833318,2300,202100000,146016237,Europe
France,7120863,117463,6909619,93781,1049,151204954,65462230,Europe
Spain,4997732,87132,4848432,62168,435,66213858,46778444,Europe
Italy,4737462,131802,4531644,74016,338,100645374,60345624,Europe
Germany,4464667,95794,4200000,168873,1336,73348901,84133947,Europe
Poland,2968200,76434,2683645,208121,399,21758129,37792435,Europe
Ukraine,2748614,63486,2369695,315433,177,13927353,43390228,Europe
Netherlands,2076273,18313,1973338,84622,182,17790280,17184409,Europe
Czechia,1726690,30606,1665066,31018,123,39824015,10734940,Europe
Romania,1550203,44290,1313756,192157,1854,14293541,19069890,Europe
Belgium,1312360,25846,1200847,85667,232,21151753,11655512,Europe
Sweden,1165996,14956,1133621,17419,29,13014907,10181511,Europe
Serbia,1092476,9448,957601,125427,282,6142335,8691362,Europe
Portugal,1084534,18129,1035450,30955,60,19550680,10157845,Europe
Switzerland,862408,11193,819087,32128,100,11479392,8737274,Europe
Hungary,843825,30492,793842,19491,169,7236933,9628287,Europe
Austria,794982,11245,754072,29665,227,94627736,9073518,Europe
Greece,714283,15598,663774,34911,353,24512381,10356492,Europe
Belarus,584190,4499,556496,23195,NA,9335239,9445261,Europe
Bulgaria,564719,22975,466212,75532,595,5240388,6880048,Europe
Slovakia,453231,12895,411521,28815,236,3842243,5463098,Europe
Croatia,443032,9010,416703,17319,128,3026033,4072166,Europe
Ireland,428152,5369,375351,47432,93,7897226,5009780,Europe
Lithuania,385640,5602,344075,35963,236,5436515,2672598,Europe
Denmark,375065,2697,360725,11643,16,85162617,5818850,Europe
Moldova,327094,7459,305068,14567,285,1965179,4021708,Europe
Slovenia,318412,4677,296295,17440,82,1685449,2079311,Europe
Bosnia and Herzegovina,247958,11322,192218,44418,NA,1281963,3254137,Europe
Latvia,200321,3018,165461,31842,154,4789673,1858923,Europe
Norway,199875,894,88952,110029,11,8039152,5476595,Europe
North Macedonia,199057,7019,185931,6107,NA,1357742,2083262,Europe
Albania,181252,2870,171475,6907,3,1280641,2873690,Europe
Estonia,180252,1454,159254,19544,37,2074679,1327701,Europe
Finland,153156,1139,46000,106017,30,7377474,5551967,Europe
Montenegro,140489,2059,133977,4453,57,795447,628170,Europe
Luxembourg,80603,842,78173,1588,5,3571354,639261,Europe
Malta,37539,459,36450,630,3,1211456,443079,Europe
Andorra,15404,130,15182,92,4,193595,77427,Europe
